decile,n,mean_pred,mean_actual,min_pred,max_pred,error_pct
1,3334,4244.83,4453.46,3124.0,4715.16,-4.68
2,3333,4963.5,5413.02,4715.26,5170.98,-8.3
3,3333,5346.33,6014.73,5171.26,5519.85,-11.11
4,3334,5695.91,6698.53,5519.93,5878.66,-14.97
5,3333,6071.51,7344.25,5878.67,6274.3,-17.33
6,3333,6512.78,7994.93,6274.34,6775.32,-18.54
7,3334,7106.07,8901.87,6775.59,7483.51,-20.17
8,3333,8039.08,9815.41,7483.51,8713.34,-18.1
9,3333,9806.9,11322.31,8713.34,11276.49,-13.38
10,3334,16379.66,16283.0,11277.09,71140.09,0.59
